,Country_Name,Country_Code,Year,GDP,HDI
5,United Arab Emirates,ARE,1980,166.0,68.0
6,Argentina,ARG,1980,112.0,75.0
10,Australia,AUS,1980,140.0,105.0
11,Austria,AUT,1980,149.0,89.0
13,Burundi,BDI,1980,1.0,3.0
14,Belgium,BEL,1980,148.0,92.0
15,Benin,BEN,1980,22.0,6.0
17,Bangladesh,BGD,1980,7.0,14.0
19,Bahrain,BHR,1980,132.0,72.5
22,Belize,BLZ,1980,73.0,65.0
24,Bolivia,BOL,1980,51.0,47.0
25,Brazil,BRA,1980,105.0,54.0
28,Botswana,BWA,1980,68.0,36.0
29,Central African Republic,CAF,1980,20.0,13.0
30,Canada,CAN,1980,150.0,103.0
31,Switzerland,CHE,1980,162.0,102.0
33,Chile,CHL,1980,95.0,69.0
34,China,CHN,1980,3.0,29.0
35,Cote d'Ivoire,CIV,1980,63.0,21.5
36,Cameroon,CMR,1980,49.0,26.0
37,"Congo, Rep.",COG,1980,62.0,42.0
38,Colombia,COL,1980,84.0,55.5
40,Costa Rica,CRI,1980,94.0,64.0
45,Germany,DEU,1980,146.0,87.0
48,Denmark,DNK,1980,157.0,97.0
49,Dominican Republic,DOM,1980,75.0,49.0
50,Algeria,DZA,1980,88.0,39.0
51,Ecuador,ECU,1980,85.0,61.0
53,Spain,ESP,1980,129.0,78.0
56,Finland,FIN,1980,145.0,93.0
57,Fiji,FJI,1980,93.0,59.0
58,France,FRA,1980,147.0,85.0
61,Gabon,GAB,1980,119.0,48.0
62,United Kingdom,GBR,1980,144.0,90.0
64,Ghana,GHA,1980,18.0,27.0
68,Greece,GRC,1980,130.0,84.0
71,Guatemala,GTM,1980,72.0,34.0
73,Guyana,GUY,1980,44.0,46.0
74,Honduras,HND,1980,55.0,38.0
78,Indonesia,IDN,1980,32.0,33.0
80,India,IND,1980,8.0,20.0
81,Ireland,IRL,1980,131.0,88.0
83,Iceland,ISL,1980,160.0,94.0
84,Israel,ISR,1980,126.0,95.0
85,Italy,ITA,1980,142.0,83.0
87,Jordan,JOR,1980,74.0,51.0
88,Japan,JPN,1980,141.0,96.0
90,Kenya,KEN,1980,30.0,32.0
98,Liberia,LBR,1980,42.0,19.0
102,Sri Lanka,LKA,1980,31.0,50.0
103,Lesotho,LSO,1980,19.0,31.0
105,Luxembourg,LUX,1980,158.0,86.0
108,Morocco,MAR,1980,53.0,24.0
113,Mexico,MEX,1980,115.0,62.0
116,Mali,MLI,1980,13.0,0.0
117,Malta,MLT,1980,118.0,80.5
123,Mauritania,MRT,1980,38.0,17.5
124,Mauritius,MUS,1980,71.0,53.0
125,Malawi,MWI,1980,4.0,8.0
126,Malaysia,MYS,1980,82.0,57.0
129,Niger,NER,1980,15.0,1.0
131,Nicaragua,NIC,1980,59.0,40.0
132,Netherlands,NLD,1980,155.0,99.0
133,Norway,NOR,1980,161.0,100.0
134,Nepal,NPL,1980,0.0,4.0
135,New Zealand,NZL,1980,135.0,101.0
137,Pakistan,PAK,1980,16.0,23.0
138,Panama,PAN,1980,96.0,67.0
139,Peru,PER,1980,89.0,60.0
140,Philippines,PHL,1980,52.0,55.5
142,Papua New Guinea,PNG,1980,40.0,15.0
145,Portugal,PRT,1980,123.0,71.0
146,Paraguay,PRY,1980,57.0,52.0
150,Rwanda,RWA,1980,6.0,10.0
151,Saudi Arabia,SAU,1980,143.0,72.5
152,Sudan,SDN,1980,24.0,7.0
153,Senegal,SEN,1980,37.0,16.0
156,Sierra Leone,SLE,1980,21.0,5.0
157,El Salvador,SLV,1980,78.0,43.0
166,Sweden,SWE,1980,156.0,98.0
172,Togo,TGO,1980,29.0,21.5
173,Thailand,THA,1980,43.0,44.0
178,Trinidad and Tobago,TTO,1980,120.0,76.0
179,Tunisia,TUN,1980,67.0,37.0
180,Turkey,TUR,1980,100.0,41.0
185,Uruguay,URY,1980,107.0,74.0
186,United States,USA,1980,154.0,104.0
194,South Africa,ZAF,1980,113.0,58.0
195,"Congo, Dem. Rep.",COD,1980,33.0,12.0
196,Zambia,ZMB,1980,39.0,28.0
197,Zimbabwe,ZWE,1980,34.0,25.0
202,Albania,ALB,1990,82.0,74.5
203,United Arab Emirates,ARE,1990,198.0,80.0
204,Argentina,ARG,1990,129.0,83.0
208,Australia,AUS,1990,176.0,122.0
209,Austria,AUT,1990,188.0,107.0
211,Burundi,BDI,1990,4.0,6.0
212,Belgium,BEL,1990,183.0,113.0
213,Benin,BEN,1990,30.0,13.0
215,Bangladesh,BGD,1990,15.0,16.5
216,Bulgaria,BGR,1990,109.0,84.5
217,Bahrain,BHR,1990,160.0,92.0
220,Belize,BLZ,1990,104.0,73.0
222,Bolivia,BOL,1990,55.0,51.0
223,Brazil,BRA,1990,131.0,61.0
226,Botswana,BWA,1990,126.0,59.5
227,Central African Republic,CAF,1990,19.0,12.0
228,Canada,CAN,1990,181.0,120.0
229,Switzerland,CHE,1990,199.0,117.0
231,Chile,CHL,1990,134.0,84.5
232,China,CHN,1990,31.0,39.0
233,Cote d'Ivoire,CIV,1990,68.0,19.0
234,Cameroon,CMR,1990,64.0,30.0
235,"Congo, Rep.",COG,1990,87.0,41.0
236,Colombia,COL,1990,107.0,59.5
238,Costa Rica,CRI,1990,122.0,74.5
239,Cuba,CUB,1990,125.0,78.0
241,Cyprus,CYP,1990,165.0,95.5
243,Germany,DEU,1990,184.0,109.0
246,Denmark,DNK,1990,195.0,112.0
247,Dominican Republic,DOM,1990,97.0,56.0
248,Algeria,DZA,1990,103.0,49.0
249,Ecuador,ECU,1990,105.0,69.0
251,Spain,ESP,1990,168.0,97.0
254,Finland,FIN,1990,186.0,108.0
255,Fiji,FJI,1990,111.0,66.0
256,France,FRA,1990,182.0,101.0
259,Gabon,GAB,1990,148.0,62.0
260,United Kingdom,GBR,1990,185.0,102.0
262,Ghana,GHA,1990,21.0,28.0
266,Greece,GRC,1990,163.0,100.0
269,Guatemala,GTM,1990,81.0,34.0
271,Guyana,GUY,1990,48.0,38.0
272,Honduras,HND,1990,70.0,42.0
276,Indonesia,IDN,1990,56.0,37.0
278,India,IND,1990,23.0,27.0
279,Ireland,IRL,1990,173.0,103.0
281,Iceland,ISL,1990,196.0,111.0
282,Israel,ISR,1990,157.0,110.0
283,Italy,ITA,1990,178.0,99.0
285,Jordan,JOR,1990,83.0,58.0
286,Japan,JPN,1990,191.0,115.0
288,Kenya,KEN,1990,37.0,33.0
300,Sri Lanka,LKA,1990,52.0,57.0
301,Lesotho,LSO,1990,34.0,35.0
303,Luxembourg,LUX,1990,200.0,106.0
306,Morocco,MAR,1990,73.0,31.5
311,Mexico,MEX,1990,145.0,71.5
314,Mali,MLI,1990,13.0,2.0
315,Malta,MLT,1990,151.0,98.0
318,Mongolia,MNG,1990,59.0,46.0
320,Mozambique,MOZ,1990,1.0,1.0
321,Mauritania,MRT,1990,44.0,18.0
322,Mauritius,MUS,1990,114.0,65.0
323,Malawi,MWI,1990,2.0,8.0
324,Malaysia,MYS,1990,121.0,68.0
325,Namibia,NAM,1990,108.0,52.0
327,Niger,NER,1990,11.0,0.0
329,Nicaragua,NIC,1990,62.0,36.0
330,Netherlands,NLD,1990,190.0,118.0
331,Norway,NOR,1990,197.0,119.0
332,Nepal,NPL,1990,5.0,15.0
333,New Zealand,NZL,1990,169.0,116.0
335,Pakistan,PAK,1990,35.0,26.0
336,Panama,PAN,1990,116.0,76.0
337,Peru,PER,1990,91.0,63.0
338,Philippines,PHL,1990,65.0,54.0
340,Papua New Guinea,PNG,1990,51.0,21.5
343,Portugal,PRT,1990,158.0,89.0
344,Paraguay,PRY,1990,75.0,55.0
347,Romania,ROU,1990,127.0,86.0
348,Rwanda,RWA,1990,6.0,3.0
349,Saudi Arabia,SAU,1990,155.0,81.5
350,Sudan,SDN,1990,29.0,9.5
351,Senegal,SEN,1990,47.0,20.0
354,Sierra Leone,SLE,1990,20.0,4.0
355,El Salvador,SLV,1990,90.0,43.0
364,Sweden,SWE,1990,192.0,114.0
365,Swaziland,SWZ,1990,94.0,44.0
370,Togo,TGO,1990,27.0,21.5
371,Thailand,THA,1990,76.0,53.0
375,Tonga,TON,1990,88.0,71.5
376,Trinidad and Tobago,TTO,1990,144.0,77.0
377,Tunisia,TUN,1990,95.0,47.0
378,Turkey,TUR,1990,139.0,50.0
380,Tanzania,TZA,1990,18.0,16.5
381,Uganda,UGA,1990,3.0,11.0
382,Ukraine,UKR,1990,106.0,88.0
383,Uruguay,URY,1990,130.0,79.0
384,United States,USA,1990,194.0,121.0
388,Vietnam,VNM,1990,12.0,31.5
392,South Africa,ZAF,1990,140.0,64.0
393,"Congo, Dem. Rep.",COD,1990,33.0,7.0
394,Zambia,ZMB,1990,41.0,24.0
395,Zimbabwe,ZWE,1990,46.0,29.0
399,Angola,AGO,2000,74.0,23.0
400,Albania,ALB,2000,93.0,92.5
401,United Arab Emirates,ARE,2000,216.0,111.0
402,Argentina,ARG,2000,147.0,108.0
403,Armenia,ARM,2000,60.0,76.0
406,Australia,AUS,2000,198.0,151.0
407,Austria,AUT,2000,209.0,134.5
409,Burundi,BDI,2000,1.0,3.5
410,Belgium,BEL,2000,206.0,145.0
411,Benin,BEN,2000,34.0,21.0
413,Bangladesh,BGD,2000,27.0,30.0
414,Bulgaria,BGR,2000,115.0,99.0
415,Bahrain,BHR,2000,179.0,115.0
418,Belize,BLZ,2000,127.0,84.0
420,Bolivia,BOL,2000,62.0,64.5
421,Brazil,BRA,2000,135.0,82.0
424,Botswana,BWA,2000,138.0,59.5
425,Central African Republic,CAF,2000,17.0,9.5
426,Canada,CAN,2000,202.0,147.0
427,Switzerland,CHE,2000,220.0,144.0
429,Chile,CHL,2000,154.0,108.0
430,China,CHN,2000,72.0,62.0
431,Cote d'Ivoire,CIV,2000,65.0,19.5
432,Cameroon,CMR,2000,58.0,33.0
433,"Congo, Rep.",COG,2000,86.0,41.0
434,Colombia,COL,2000,120.0,78.0
436,Costa Rica,CRI,2000,133.0,96.0
437,Cuba,CUB,2000,118.0,90.5
439,Cyprus,CYP,2000,183.0,123.0
440,Czech Republic,CZE,2000,168.0,127.0
441,Germany,DEU,2000,204.0,141.0
